| 18  74   4  27  94 | | 52   6  78   9   1 | | 70  80  82  36  95 |
| 80  13  77  26   8 | | 87  90  89  19  36 | |167 103 166  45  44 |
| 79  57  99  31  36 |+| 39  76  48  23  72 |=|118 133 147  54 108 |
| 49  90  60  67  69 | | 54  89  94  54  26 | |103 179 154 121  95 |
| 21  12   4  22  40 | | 15  34  55  98  30 | | 36  46  59 120  70 |

| 33  36  61  71  91 | | 19  56   0  93   6 | | 52  92  61 164  97 |
| 64  61  95  12   6 | | 39  19  87  61  48 | |103  80 182  73  54 |
| 53  63  28  53  30 |+| 27  32  67  16  94 |=| 80  95  95  69 124 |
| 13  79  86  49  31 | | 64  49  39  56  39 | | 77 128 125 105  70 |
| 63  45  80  76  66 | | 61  90  39  93  83 | |124 135 119 169 149 |

| 40   9  16  35  54 | | 85   2  37  36  66 | |125  11  53  71 120 |
| 29  96  82  46   3 | | 33   7  81  97  44 | | 62 103 163 143  47 |
|  2   4  55  18  43 |+| 66  13  85  30  50 |=| 68  17 140  48  93 |
| 79  34  51  58  53 | | 83  55  17  52  78 | |162  89  68 110 131 |
| 17  10  21  60  55 | | 48  79  92  67  29 | | 65  89 113 127  84 |

| 10  95   2  66  11 | | 23  82  15  20   8 | | 33 177  17  86  19 |
| 70  57  45  87  25 | | 91  70  74   2   5 | |161 127 119  89  30 |
| 81  53  88  49   7 |+|  9  91  74  13  70 |=| 90 144 162  62  77 |
| 42  59  65  17  47 | | 84   2  61  97  29 | |126  61 126 114  76 |
|  4  86  52   0  99 | | 83  27  30   5  26 | | 87 113  82   5 125 |

| 77  35   2  36  69 | | 45  97  89  17  43 | |122 132  91  53 112 |
| 53  94  13  38  21 | | 10  11  58  97  85 | | 63 105  71 135 106 |
| 25  33  53   6  22 |+| 25  10  51  53  72 |=| 50  43 104  59  94 |
| 45  16  96   1   1 | |100  46  85  31  70 | |145  62 181  32  71 |
| 41  80  31  24  56 | | 20   0  59  35  45 | | 61  80  90  59 101 |

| 86  71  24  70   8 | | 47  18  90  30  58 | |133  89 114 100  66 |
| 68  57  66  35  16 | | 20  51  18  33   3 | | 88 108  84  68  19 |
|  2  23  23  74  56 |+| 23  49  21  47  96 |=| 25  72  44 121 152 |
| 93  43  26  85  29 | | 42  29  33  62  93 | |135  72  59 147 122 |
| 20  12  48  62  78 | | 98  43  45  83  44 | |118  55  93 145 122 |

